"Dayun"
"1/11/19 12:00 AM : 1 Year"
"","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway","Gateway"
"","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled","Vantage Pro2, Cabled"
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Date & Time","Barometer - mb","Inside Temp - °C","Inside Hum - %","Inside Dew Point - °C","Inside Heat Index - °C","Inside EMC","Temp - °C","High Temp - °C","Low Temp - °C","Hum - %","Dew Point - °C","Wet Bulb - °C","Wind Speed - km/h","Wind Direction","Wind Run - km","High Wind Speed - km/h","High Wind Direction","Wind Chill - °C","Heat Index - °C","THW Index - °C","Rain - mm","Rain Rate - mm/h","ET - mm","Heating Degree Days","Cooling Degree Days"
"1/11/19 12:00 AM","1007,2","27,8","51,0","16,8","28,3","9,31","22,5","22,6","22,4","83,0","19,5","20,3","0,0","","0,00","0,0","","22,5","23,5","23,5","0,2","1,2","0,89","0,000","0,087"
"1/11/19 12:30 AM","1006,5","27,7","51,0","16,6","28,0","9,31","22,3","22,5","22,3","83,0","19,3","20,1","0,0","","0,00","4,8","ESE","22,3","23,3","23,3","0,4","1,0","0,00","0,000","0,083"
"1/11/19 1:00 AM","1006,0","27,5","51,0","16,5","27,8","9,32","22,2","22,4","22,2","83,0","19,1","20,0","0,0","","0,00","3,2","ESE","22,2","23,1","23,1","0,2","1,0","0,89","0,000","0,080"
"1/11/19 1:30 AM","1005,7","27,4","50,0","16,0","27,6","9,12","22,3","22,3","22,2","83,0","19,2","20,1","0,0","","0,00","1,6","ESE","22,3","23,2","23,2","0,4","0,0","0,00","0,000","0,082"
"1/11/19 2:00 AM","1005,2","27,3","50,0","15,9","27,5","9,13","22,3","22,3","22,2","83,0","19,2","20,1","0,0","","0,00","0,0","","22,3","23,2","23,2","0,0","0,0","0,89","0,000","0,082"
"1/11/19 4:00 AM","1004,5","26,9","53,0","16,5","27,2","9,64","22,2","22,3","22,2","83,0","19,2","20,0","0,0","","0,00","1,6","WNW","22,2","23,2","23,2","0,0","0,0","0,79","0,000","0,081"
"1/11/19 4:30 AM","1004,8","26,9","51,0","15,9","27,1","9,34","22,3","22,3","22,2","83,0","19,2","20,1","0,0","","0,00","3,2","W","22,3","23,2","23,2","0,0","0,0","0,00","0,000","0,082"
"1/11/19 5:00 AM","1004,7","26,8","51,0","15,8","27,0","9,35","22,4","22,4","22,3","83,0","19,4","20,2","0,0","","0,00","3,2","W","22,4","23,3","23,3","0,0","0,0","0,84","0,000","0,084"
"1/11/19 5:30 AM","1004,9","26,7","51,0","15,7","26,9","9,35","22,6","22,6","22,4","83,0","19,5","20,4","0,0","","0,00","4,8","W","22,6","23,5","23,5","0,0","0,0","0,00","0,000","0,088"
"1/11/19 6:00 AM","1004,7","26,7","51,0","15,7","26,9","9,35","22,6","22,6","22,6","83,0","19,6","20,4","1,6","W","0,80","6,4","WNW","22,6","23,6","23,6","0,0","0,0","0,86","0,000","0,089"
"1/11/19 6:30 AM","1004,8","26,8","58,0","17,9","27,5","10,35","22,7","22,7","22,6","83,0","19,6","20,5","0,0","","0,00","4,8","WNW","22,7","23,7","23,7","0,0","0,0","0,00","0,000","0,090"
"1/11/19 7:00 AM","1005,1","26,9","61,0","18,8","27,9","10,95","22,8","22,8","22,6","84,0","20,0","20,8","0,0","","0,00","3,2","NW","22,8","23,9","23,9","0,0","0,0","0,66","0,000","0,094"
"1/11/19 7:30 AM","1005,7","26,9","57,0","17,7","27,5","10,16","23,1","23,2","22,8","84,0","20,3","21,0","0,0","","0,00","4,8","NW","23,1","24,2","24,2","0,0","0,0","0,00","0,000","0,100"
"1/11/19 8:00 AM","1006,2","27,1","57,0","17,9","27,8","10,17","23,3","23,3","23,1","84,0","20,5","21,2","0,0","","0,00","4,8","W","23,3","24,5","24,5","0,0","0,0","0,53","0,000","0,104"
"1/11/19 9:00 AM","1006,8","27,4","58,0","18,4","28,2","10,35","23,7","23,7","23,6","83,0","20,6","21,4","0,0","","0,00","0,0","","23,7","24,9","24,9","0,0","0,0","0,53","0,000","0,111"
"1/11/19 9:30 AM","1006,7","28,1","58,0","19,0","29,2","10,35","24,9","24,9","23,7","80,0","21,2","22,1","0,0","","0,00","4,8","WSW","24,9","26,3","26,3","0,0","0,0","0,00","0,000","0,137"
"1/11/19 10:00 AM","1006,8","28,8","60,0","20,3","30,7","10,75","26,6","26,6","24,9","76,0","22,0","23,1","1,6","SW","0,80","6,4","SSE","26,6","28,8","28,8","0,0","0,0","0,56","0,000","0,171"
"1/11/19 10:30 AM","1006,4","30,4","58,0","21,2","33,3","10,32","30,3","30,3","27,9","67,0","23,5","24,9","3,2","WSW","1,61","11,3","W","30,3","35,1","35,1","0,0","0,0","0,00","0,000","0,249"
"1/11/19 11:00 AM","1006,2","31,1","58,0","21,8","34,6","10,29","29,9","30,3","29,9","66,0","22,8","24,3","3,2","NNW","1,61","12,9","NW","29,9","34,0","34,0","0,0","0,0","0,69","0,000","0,241"
